GEO_ID,tract_geoid,NAME,population,median_household_income,poverty_universe_total,below_poverty_count,poverty_rate,complaint_count_2015,complaint_count_2025,complaint_change_2025_minus_2015
1400000US25025000101,25025000101,Census Tract 1.01; Suffolk County; Massachusetts,1666,151466.0,1666,155,9.30372148859544,258,462,204
1400000US25025000102,25025000102,Census Tract 1.02; Suffolk County; Massachusetts,4023,79000.0,4021,1062,26.4113404625715,475,510,35
1400000US25025000201,25025000201,Census Tract 2.01; Suffolk County; Massachusetts,4332,114271.0,4319,636,14.72563093308636,502,566,64
1400000US25025000202,25025000202,Census Tract 2.02; Suffolk County; Massachusetts,3703,88625.0,3703,822,22.198217661355656,567,459,-108
1400000US25025000301,25025000301,Census Tract 3.01; Suffolk County; Massachusetts,2718,131206.0,2620,240,9.16030534351145,442,336,-106
1400000US25025000302,25025000302,Census Tract 3.02; Suffolk County; Massachusetts,3227,116793.0,3227,326,10.10226216299969,398,383,-15
1400000US25025000401,25025000401,Census Tract 4.01; Suffolk County; Massachusetts,4702,75366.0,4682,1088,23.23793250747544,595,772,177
1400000US25025000402,25025000402,Census Tract 4.02; Suffolk County; Massachusetts,3672,111705.0,3627,535,14.750482492417976,658,1650,992
1400000US25025000502,25025000502,Census Tract 5.02; Suffolk County; Massachusetts,5826,82125.0,2950,594,20.135593220338983,444,533,89
1400000US25025000503,25025000503,Census Tract 5.03; Suffolk County; Massachusetts,2062,92560.0,2036,228,11.19842829076621,227,246,19
1400000US25025000505,25025000505,Census Tract 5.05; Suffolk County; Massachusetts,1912,80556.0,1826,290,15.88170865279299,188,248,60
1400000US25025000506,25025000506,Census Tract 5.06; Suffolk County; Massachusetts,2397,73403.0,2397,473,19.732999582811846,336,343,7
1400000US25025000601,25025000601,Census Tract 6.01; Suffolk County; Massachusetts,3620,97877.0,3610,415,11.49584487534626,687,736,49
1400000US25025000603,25025000603,Census Tract 6.03; Suffolk County; Massachusetts,1763,33229.0,1745,761,43.61031518624642,134,119,-15
1400000US25025000604,25025000604,Census Tract 6.04; Suffolk County; Massachusetts,2465,60060.0,2465,889,36.064908722109536,381,563,182
1400000US25025000701,25025000701,Census Tract 7.01; Suffolk County; Massachusetts,4111,93326.0,4098,792,19.32650073206442,278,476,198
1400000US25025000703,25025000703,Census Tract 7.03; Suffolk County; Massachusetts,1724,46985.0,1724,629,36.48491879350348,225,406,181
1400000US25025000704,25025000704,Census Tract 7.04; Suffolk County; Massachusetts,4043,78778.0,4022,798,19.840875186474392,445,512,67
1400000US25025000804,25025000804,Census Tract 8.04; Suffolk County; Massachusetts,3238,81853.0,3238,686,21.18591723285979,517,841,324
1400000US25025000805,25025000805,Census Tract 8.05; Suffolk County; Massachusetts,3123,53824.0,2799,971,34.69096105752054,380,606,226
1400000US25025000806,25025000806,Census Tract 8.06; Suffolk County; Massachusetts,2273,89479.0,1284,250,19.470404984423677,156,155,-1
1400000US25025000807,25025000807,Census Tract 8.07; Suffolk County; Massachusetts,3092,,31,20,64.51612903225806,56,28,-28
1400000US25025010103,25025010103,Census Tract 101.03; Suffolk County; Massachusetts,3527,45000.0,558,158,28.31541218637993,126,55,-71
1400000US25025010104,25025010104,Census Tract 101.04; Suffolk County; Massachusetts,4662,88611.0,2531,786,31.05491900434611,646,665,19
1400000US25025010204,25025010204,Census Tract 102.04; Suffolk County; Massachusetts,3098,41480.0,1506,522,34.66135458167331,258,448,190
1400000US25025010205,25025010205,Census Tract 102.05; Suffolk County; Massachusetts,3850,67380.0,3729,791,21.21212121212121,335,298,-37
1400000US25025010206,25025010206,Census Tract 102.06; Suffolk County; Massachusetts,2205,60769.0,2202,637,28.928247048138054,243,239,-4
1400000US25025010300,25025010300,Census Tract 103; Suffolk County; Massachusetts,5099,71000.0,530,90,16.9811320754717,239,123,-116
1400000US25025010403,25025010403,Census Tract 104.03; Suffolk County; Massachusetts,2580,40581.0,2580,1319,51.12403100775194,439,397,-42
1400000US25025010404,25025010404,Census Tract 104.04; Suffolk County; Massachusetts,4363,29779.0,2031,860,42.34367306745446,474,290,-184
1400000US25025010405,25025010405,Census Tract 104.05; Suffolk County; Massachusetts,6372,24750.0,1972,854,43.30628803245436,327,203,-124
1400000US25025010408,25025010408,Census Tract 104.08; Suffolk County; Massachusetts,1280,75658.0,1280,376,29.375,90,162,72
1400000US25025010500,25025010500,Census Tract 105; Suffolk County; Massachusetts,3241,56386.0,2598,845,32.52501924557352,577,525,-52
1400000US25025010600,25025010600,Census Tract 106; Suffolk County; Massachusetts,3220,117422.0,3220,354,10.993788819875776,670,589,-81
1400000US25025010701,25025010701,Census Tract 107.01; Suffolk County; Massachusetts,2354,143125.0,2024,197,9.733201581027668,984,1603,619
1400000US25025010702,25025010702,Census Tract 107.02; Suffolk County; Massachusetts,2163,164716.0,2052,156,7.602339181286549,1079,1124,45
1400000US25025010801,25025010801,Census Tract 108.01; Suffolk County; Massachusetts,2677,159141.0,2361,163,6.903854299025837,385,838,453
1400000US25025010802,25025010802,Census Tract 108.02; Suffolk County; Massachusetts,3170,180313.0,3050,197,6.459016393442623,627,1401,774
1400000US25025020101,25025020101,Census Tract 201.01; Suffolk County; Massachusetts,3907,213421.0,3881,156,4.0195825818088124,2040,1653,-387
1400000US25025020200,25025020200,Census Tract 202; Suffolk County; Massachusetts,3124,122737.0,3124,393,12.580025608194624,1859,3628,1769
1400000US25025020301,25025020301,Census Tract 203.01; Suffolk County; Massachusetts,2399,115370.0,2340,292,12.47863247863248,218,133,-85
1400000US25025020302,25025020302,Census Tract 203.02; Suffolk County; Massachusetts,1201,165938.0,1201,98,8.159866777685263,679,885,206
1400000US25025020304,25025020304,Census Tract 203.04; Suffolk County; Massachusetts,1361,189167.0,1331,172,12.922614575507138,290,187,-103
1400000US25025020305,25025020305,Census Tract 203.05; Suffolk County; Massachusetts,4213,143333.0,3929,451,11.47874777297022,256,87,-169
1400000US25025030100,25025030100,Census Tract 301; Suffolk County; Massachusetts,2006,111500.0,2006,291,14.506480558325023,539,1469,930
1400000US25025030200,25025030200,Census Tract 302; Suffolk County; Massachusetts,1549,112183.0,1549,144,9.296320206584893,513,1093,580
1400000US25025030301,25025030301,Census Tract 303.01; Suffolk County; Massachusetts,1420,132307.0,1420,89,6.267605633802817,234,83,-151
1400000US25025030302,25025030302,Census Tract 303.02; Suffolk County; Massachusetts,2372,146154.0,1829,276,15.09021323127392,1643,792,-851
1400000US25025030400,25025030400,Census Tract 304; Suffolk County; Massachusetts,3858,112123.0,3787,388,10.245576973857936,1206,1831,625
1400000US25025030500,25025030500,Census Tract 305; Suffolk County; Massachusetts,2219,139191.0,2170,147,6.774193548387098,519,930,411
1400000US25025040100,25025040100,Census Tract 401; Suffolk County; Massachusetts,2764,189333.0,2756,123,4.462989840348331,787,387,-400
1400000US25025040200,25025040200,Census Tract 402; Suffolk County; Massachusetts,1586,138000.0,1586,329,20.744010088272383,305,236,-69
1400000US25025040300,25025040300,Census Tract 403; Suffolk County; Massachusetts,4888,184879.0,4888,134,2.7414075286415716,981,539,-442
